"logFC","AveExpr","t","P.Value","adj.P.Val","B","Gene","Direction"
3.6029714163212,6.5375392767503,14.1818710437572,1.03553625209643e-38,1.33910348982325e-34,77.0638934532454,"CHI3L1","Up"
-1.86757357332686,3.64740296357208,-14.139859553321,1.59010092005373e-38,1.33910348982325e-34,76.6415377061937,"ZDHHC22","Down"
1.71368679139952,2.89509943856819,13.7065216644524,1.28403522735355e-36,7.20900177810525e-33,72.3171678527283,"ADM","Up"
-2.4208296737137,5.33624258997882,-13.0968465361035,5.56771478990828e-34,2.34442550516063e-30,66.3385854909319,"SMOC1","Down"
1.96229186851104,3.2279373941499,12.9318913336362,2.81379365979885e-33,9.47854532239841e-30,64.7436482656799,"SOCS3","Up"
-1.76206381989857,3.0293657232531,-12.7796263472392,1.24410910799331e-32,3.49242161765521e-29,63.2803985063249,"TNR","Down"
2.48375975233579,6.72070731326091,12.7059801871375,2.54520851085417e-32,6.02627694893526e-29,62.5758255921675,"IGFBP2","Up"
-1.38339994311498,2.35211472444854,-12.6938782149953,2.86232948949012e-32,6.02627694893526e-29,62.4602454241653,"MMD2","Down"
1.27097227439162,3.10054339330382,12.6103276739107,6.42860443461399e-32,1.20307760546893e-28,61.6638430388122,"ITGA5","Up"
2.0934449429168,5.28174006415006,12.5485436670591,1.1673574456745e-31,1.96618014574957e-28,61.0766732025609,"EMP3","Up"
1.55466624779521,4.02609522308178,12.5309385095242,1.38327976065765e-31,2.1180528189779e-28,60.9096363161832,"TUBA1C","Up"
1.47382554488255,2.61574248211233,12.5142672848854,1.62426509093283e-31,2.16870544462484e-28,60.7515736387035,"COL5A2","Up"
2.06719351238549,3.32989578770766,12.3746667846978,6.20587371704392e-31,7.46610935829792e-28,59.4323532103614,"PDPN","Up"
-1.10210297942677,2.2447639743727,-12.3567563644593,7.3662020259607e-31,8.27126271488374e-28,59.263668375077,"FLRT1","Down"
1.76086594415773,2.24514137267836,12.3429780788002,8.40371714574495e-31,8.84648799286139e-28,59.1339896862278,"ABCC3","Up"
-1.18881597632584,2.10235131715692,-12.0827652044067,9.97401201164835e-30,9.21974859898628e-27,56.6996003939283,"SHISA7","Down"
-1.41107497106773,2.65731966606409,-12.0737747291934,1.08585294364664e-29,9.21974859898628e-27,56.6159965428075,"ELFN2","Down"
-1.45186753635665,4.25454211627906,-12.0729075282351,1.09478698557101e-29,9.21974859898628e-27,56.6079341123646,"KCNIP3","Down"
-1.3309505028331,2.37541439684563,-11.9956188757386,2.26950160069708e-29,1.82024835526385e-26,55.8906590759787,"CDHR1","Down"
1.57456005112797,2.04178677203965,11.9755693260212,2.74081206951275e-29,2.0983408039456e-26,55.7050063407711,"G0S2","Up"
1.38943795080831,1.85525604712927,11.9524547320536,3.40614180073939e-29,2.49433244999364e-26,55.4911863818252,"SRPX2","Up"
1.89425355593526,4.58667968988467,11.8141251422009,1.24451636921996e-28,8.63717830443049e-26,54.2164127432733,"TNFRSF12A","Up"
1.81261657240935,2.70318625651361,11.8109456478428,1.28201304762075e-28,8.63717830443049e-26,54.1872103325163,"SERPINE1","Up"
-1.84237235269828,1.52269164325749,-11.7598863084012,2.06374900083311e-28,1.28639157724242e-25,53.718859913776,"AC062021.1","Down"
1.76715019964884,3.58788718858788,11.759524986782,2.0707051523065e-28,1.28639157724242e-25,53.7155497303844,"PDLIM4","Up"
2.20330275089717,2.46877649131318,11.7560648412015,2.13851238869488e-28,1.28639157724242e-25,53.6838531510143,"MMP9","Up"
-1.43222679395911,3.12237998653814,-11.7450931372756,2.36847203777241e-28,1.3755922252483e-25,53.583382180999,"GALNT13","Down"
1.42243471009338,2.15255356820149,11.7207742714849,2.96962821797658e-28,1.66724826917932e-25,53.3608778574418,"AGAP2-AS1","Up"
-1.89078867479268,2.83608169863156,-11.6958672242844,3.7427719172769e-28,2.03353249686112e-25,53.1332646895894,"CXXC11","Down"
-1.75208202900165,2.6234538674426,-11.6614037017947,5.15280006562787e-28,2.70902746638576e-25,52.81877646662,"PCDH15","Down"
1.58962128382812,2.56126138479745,11.6582077112737,5.30771871939263e-28,2.70902746638576e-25,52.7896392075169,"GDF15","Up"
-1.57290044239964,2.520682903343,-11.6529432239771,5.57306810406776e-28,2.71227701917998e-25,52.7416538356482,"NKG2-E","Down"
1.83184640102519,3.42603568464463,11.6517283731088,5.63615125994772e-28,2.71227701917998e-25,52.7305823359476,"METTL7B","Up"
-1.16880333434689,2.30463211624793,-11.6016341055373,8.95982792072554e-28,4.19195504635501e-25,52.2746284372399,"DSCAML1","Down"
1.41600930168496,3.17532370794657,11.5721078122051,1.17686951622267e-27,5.35730088155093e-25,52.0064135386091,"PLAUR","Up"
2.12150876256816,3.63320116747283,11.5655818053076,1.24991555771772e-27,5.5400862470104e-25,51.9471850733048,"SPOCD1","Up"
1.38146590326549,2.49695879925503,11.55483879196,1.3801109107876e-27,5.96030976163989e-25,51.8497262314961,"STEAP3","Up"
-1.6272000020571,3.38519542364155,-11.5454759737775,1.50452725917411e-27,6.18303370428396e-25,51.7648311206927,"CRTAC1","Down"
1.54334137882779,6.31055931495321,11.5454345123615,1.50510230882647e-27,6.18303370428396e-25,51.7644552680275,"TAGLN2","Up"
1.10006942244018,1.32622500445705,11.5246845725213,1.82213649274822e-27,7.30720117794246e-25,51.5764529738953,"GPX8","Up"
1.48676245621573,4.89340222666824,11.5150212443774,1.99164591983246e-27,7.80123075063677e-25,51.4889666795153,"SERPINH1","Up"
